序号,项目名称,项目地点1,项目地点,造价,建设内容,未挂上
159,年产经编织品9000吨、组装经编设备80台项目-车间二,太湖新城菀南工业区南新路,苏州市太湖新城菀南工业区南新路,563.58,房屋建筑,
160,年产模具（轮胎、自行车胎、摩托车胎手工刻花硫化模具除外）600套,苏州市吴江经济技术开发区五方路北侧鼎新东侧,苏州市苏州市吴江经济技术开发区五方路北侧鼎新东侧,800,房屋建筑,
161,自动化生产装备技术改造项目-自动化生产装备技术改造项目,苏州市吴江经济技术开发区亨通路88号,苏州市苏州市吴江经济技术开发区亨通路88号,725,房屋建筑,
162,WJ-J-2020-023地块商服用房项目,桃源镇原印染厂,苏州市桃源镇原印染厂,38430,房屋建筑,
163,新建厂房项目,太湖新城友谊工业区鑫康路,苏州市太湖新城友谊工业区鑫康路,1580,房屋建筑,
164,柳胥村商贸中心工程,苏州市吴江经济技术开发区九龙路东侧,苏州市苏州市吴江经济技术开发区九龙路东侧,608.37,房屋建筑,
165,"WJ-J-2020-032号地块住宅项目-1#,2#,3#,4#,5#,6#,7#,P1配电房,P2配电房,养老用房,地下车库",苏州市吴江区花港路南侧，地铁花港站西侧,苏州市苏州市吴江区花港路南侧，地铁花港站西侧,32432.51,房屋建筑,
166,内部装修,吴江经济技术开发区联杨路599号2号楼一层大厅，二三层,苏州市吴江经济技术开发区联杨路599号2号楼一层大厅，二三层,180,装饰装修,
167,年产新能源动力电池智能干燥设备100套-车间二,吴江区经济开发区益胜路北侧,苏州市吴江区经济开发区益胜路北侧,1300,房屋建筑,
168,内部装修,吴江经济开发区龙桥路758号2号楼3层,苏州市吴江经济开发区龙桥路758号2号楼3层,980,装饰装修,
169,电梯智能制造项目（车间一、办公楼、地下泵房及消防水池）,七都镇七都大道北侧,苏州市七都镇七都大道北侧,4678,房屋建筑,
170,厂房扩建项目,吴江经济开发区柳胥路479号,苏州市吴江经济开发区柳胥路479号,2612,房屋建筑,
171,新建厂房8800平方米项目（新建厂房）,苏州市吴江区桃源镇瑾下浜村12组,苏州市苏州市吴江区桃源镇瑾下浜村12组,1000,房屋建筑,
172,"吴江区桃源幼儿园工程-教学楼,门卫室",吴江区桃源镇戴家浜村,苏州市吴江区桃源镇戴家浜村,3534.97,房屋建筑,
173,年组装电气成套柜5000台、工业机器人1500台项目,吴江经济技术开发区龙桥路东侧、芦荡路南侧地块,苏州市吴江经济技术开发区龙桥路东侧、芦荡路南侧地块,11000,房屋建筑,
174,新建车间4380平方米-新建车间4380平方米,江苏省苏州市吴江区,苏州市江苏省苏州市吴江区,980,房屋建筑,
175,新建车间8000平方米-新建车间8000平方米（车间二）,苏州市吴江区七都镇临湖经济区,苏州市苏州市吴江区七都镇临湖经济区,840,房屋建筑,
176,新建厂房项目（新建车间）,吴江区桃源镇东方大道,苏州市吴江区桃源镇东方大道,900,房屋建筑,
177,WJ-J-2020-022地块商服用房项目,吴江区桃源镇原水泥厂地块,苏州市吴江区桃源镇原水泥厂地块,21620,房屋建筑,
178,年产自动化智能分拣装置100套、分拣设备配件3000套（新建车间二）,江苏省苏州市吴江区七都镇庙港太平桥村,苏州市江苏省苏州市吴江区七都镇庙港太平桥村,600,房屋建筑,
179,"“WJ-J-2019-020”地块建设项目-酒店A区,酒店B区,酒店C区",吴江经济技术开发区太湖梢2号地块,苏州市吴江经济技术开发区太湖梢2号地块,5697.85,房屋建筑,
180,新建车间及辅房12000平方米（新建办公楼、仓库、消防泵房及地下消防水池）项目,吴江区七都镇人民路6号,苏州市吴江区七都镇人民路6号,1200,房屋建筑,
182,内部装修,苏州市吴江区七都镇新村一路南（吴溇路49号）,苏州市苏州市吴江区七都镇新村一路南（吴溇路49号）,20,装饰装修,
183,内部装修-吴江舒家大院装饰工程,苏州市吴江区经济技术开发区联杨路599号,苏州市苏州市吴江区经济技术开发区联杨路599号,90.6,装饰装修,
184,内部装修,吴江区松陵镇鲈乡北路675号,苏州市吴江区松陵镇鲈乡北路675号,104.42,装饰装修,
185,年产电梯轿厢1000套项目（4#厂房）,吴江区桃源镇新和村,苏州市吴江区桃源镇新和村,598,房屋建筑,
186,年产新型高分子建筑防水卷材1亿平方米（聚乙烯丙纶类复合防水卷材、S型聚氯乙烯防水卷材除外）项目（4#厂房、5#厂房、门卫一）,江苏省苏州市吴江区七都镇亨通大道888号,苏州市江苏省苏州市吴江区七都镇亨通大道888号,2438,房屋建筑,
187,内部装修,松陵镇吴江经济开发区华鸿路东侧、古塘路北侧,苏州市松陵镇吴江经济开发区华鸿路东侧、古塘路北侧,30,装饰装修,
188,内部装修,吴江经济技术开发区联杨路139号吴江科创园7号楼1层,苏州市吴江经济技术开发区联杨路139号吴江科创园7号楼1层,50,装饰装修,
189,内部装修,苏州市吴江区横扇镇宛坪社区同心路88号伟业·锦绣江南18幢,苏州市苏州市吴江区横扇镇宛坪社区同心路88号伟业·锦绣江南18幢,70,装饰装修,
190,内部装修,吴江区芦荡路228号,苏州市吴江区芦荡路228号,1644.27,装饰装修,
191,新建厂房5650平方米-6#丁类车间,苏州市吴江区七都镇七都大道169号,苏州市苏州市吴江区七都镇七都大道169号,1560,房屋建筑,
193,年产环保专用设备20万根,苏州市吴江区桃源镇大德村小桥头,苏州市苏州市吴江区桃源镇大德村小桥头,5400,房屋建筑,
194,内部装修-苏州中广华夏影院管理有限公司内部装修,苏州吴江经济技术开发区联杨路599号1号楼4层,苏州市苏州吴江经济技术开发区联杨路599号1号楼4层,88,装饰装修,
195,新建厂房项目（厂房一、厂房二、门卫）,吴江区桃源镇富乡村,苏州市吴江区桃源镇富乡村,7809.65,房屋建筑,
196,内部装修,苏州市吴江区江陵街道联杨路599号第三幢第三层303-03-01铺,苏州市苏州市吴江区江陵街道联杨路599号第三幢第三层303-03-01铺,38,装饰装修,
198,年产光纤预制棒800吨项目（110KV变配电房）,亨通路古塘路交叉口北侧，交通北路168号,苏州市亨通路古塘路交叉口北侧，交通北路168号,923.72,房屋建筑,
200,"厂区工程-3#生产车间,宿舍",吴江经济技术开发区龙友路88号,苏州市吴江经济技术开发区龙友路88号,3518,房屋建筑,
201,年组装纺织机1000台-车间(消防水池),苏州市吴江区七都镇庙港联强村,苏州市苏州市吴江区七都镇庙港联强村,1500,房屋建筑,
202,内部装修,苏州市吴江区江陵街道长板路1号天城花园商业1幢商铺109一至三层局部,苏州市苏州市吴江区江陵街道长板路1号天城花园商业1幢商铺109一至三层局部,45,装饰装修,
203,内部装修,吴江区松陵镇八坼环镇北路,苏州市吴江区松陵镇八坼环镇北路,58,装饰装修,
204,内部装修,吴江经济技术开发区省道227西侧青禾创客空间1层及3层办公区,苏州市吴江经济技术开发区省道227西侧青禾创客空间1层及3层办公区,93.97,装饰装修,
205,年产智能垃圾分类设备（系统 ）1000套、固体废弃物处理设备（系 统）1000套、工业机器人1万套、垃圾分类大数据系统100套、节能环保设备 （系统）100套,吴江经济技术开发区五方路北侧、龙桥路东侧地块,苏州市吴江经济技术开发区五方路北侧、龙桥路东侧地块,12000,房屋建筑,
206,新建厂房8000平方米,吴江区桃源镇远欣路1799号,苏州市吴江区桃源镇远欣路1799号,598,房屋建筑,
207,内部装修,吴江经济开发区交通路668号,苏州市吴江经济开发区交通路668号,188,装饰装修,
208,金域华府东侧幼儿园项目总承包工程,吴江区高新路北、长安路东侧,苏州市吴江区高新路北、长安路东侧,3568.37,房屋建筑,
209,苏州湾（吴江）外国语学校扩建项目,吴江区松陵镇龙河路1500号,苏州市吴江区松陵镇龙河路1500号,1700,房屋建筑,
210,WJ-J-2020-004号地块科研及商服建设项目（三期）,苏州市吴江区开平路南、春兰街西,苏州市苏州市吴江区开平路南、春兰街西,57035.43,房屋建筑,
211,红星美凯龙住宅西南角幼儿园工程,吴江区夏蓉街以东、东太湖大道以北,苏州市吴江区夏蓉街以东、东太湖大道以北,6510.76,房屋建筑,
212,WJ-J-2020-004号地块科研及商服建设项目（四期）,苏州市吴江区东太湖度假区（太湖新城）苏州湾大道东侧开平路南侧地块,苏州市苏州市吴江区东太湖度假区（太湖新城）苏州湾大道东侧开平路南侧地块,45690.35,房屋建筑,
213,WJ-J-2020-004号地块科研及商服建设项目（二期）,苏州市吴江区东太湖度假区（太湖新城）苏州湾大道东侧开平路南侧地库,苏州市苏州市吴江区东太湖度假区（太湖新城）苏州湾大道东侧开平路南侧地库,46865.24,房屋建筑,
214,建设苏州湾文化中心配套工程-苏州湾文化中心配套工程—内装修工程,太湖新城湖景街东，映山街西,苏州市太湖新城湖景街东，映山街西,1160.25,装饰装修,
215,苏州湾文化中心配套工程精品建筑工程,太湖新城湖景街东，映山街西,苏州市太湖新城湖景街东，映山街西,217.32,房屋建筑,
216,顺丰创智产业基地项目,江苏省吴江东太湖生态旅游度假区（太湖新城）尖田路,苏州市江苏省吴江东太湖生态旅游度假区（太湖新城）尖田路,43500,房屋建筑,
217,WJ-J-2020-004号地块科研及商服建设项目（一期）,苏州市吴江区东太湖度假区（太湖新城）苏州湾大道东侧开平路南侧地块,苏州市苏州市吴江区东太湖度假区（太湖新城）苏州湾大道东侧开平路南侧地块,56435.43,房屋建筑,
218,吴江区实验初级中学改扩建工程-土建总包,吴江区太湖新城吴模路1855号,苏州市吴江区太湖新城吴模路1855号,2665.08,房屋建筑,
219,东太湖度假区（太湖新城）开平路北侧君悦路东侧商务用房项目,吴江区开平路北侧君悦路东侧,苏州市吴江区开平路北侧君悦路东侧,22468.02,房屋建筑,
220,新建研发中心大楼,太湖新城云龙路复线南侧支路三西侧,苏州市太湖新城云龙路复线南侧支路三西侧,7998.89,房屋建筑,
221,"尚源智慧科技大厦项目-1#研发中心一,2#研发中心二,3#院士工作站/实验楼,4#设备间,地下车库",苏州市吴江区太湖新城经一路西侧云龙路复线南侧,苏州市苏州市吴江区太湖新城经一路西侧云龙路复线南侧,14000,房屋建筑,
222,苏州吴江WJ-J-2020-017号地块项目,苏州市吴江区太湖新城（松陵镇）秋枫街东侧规七路北侧地块,苏州市苏州市吴江区太湖新城（松陵镇）秋枫街东侧规七路北侧地块,58524.72,房屋建筑,
223,太湖新城规七路南侧夏蓉街西侧WJ-J-2020-018号地块住宅项目（1#-39#、M1#、M2#、P1#、P2#、地下车库）,东太湖度假区（太湖新城）规七路南侧、夏蓉街西侧,苏州市东太湖度假区（太湖新城）规七路南侧、夏蓉街西侧,59753.38,房屋建筑,
224,吴江市滨湖新城A区A4-4地块商服用房项目,吴江区太湖新城东太湖大道11666号,苏州市吴江区太湖新城东太湖大道11666号,10635.02,房屋建筑,
225,东太湖旅游度假区WJ-J-2020-013地块商住及科研用房项目（13#楼）,吴江区开平路南侧、风清街东侧、纬四路北侧、苏州湾大道西侧,苏州市吴江区开平路南侧、风清街东侧、纬四路北侧、苏州湾大道西侧,22138.43,房屋建筑,
226,东太湖旅游度假区（太湖新城）水秀街东侧高新路南侧地块科教、商服用房项目,吴江区高新路南侧、水秀街东侧,苏州市吴江区高新路南侧、水秀街东侧,12600,房屋建筑,
227,东太湖旅游度假区WJ-J-2020-013地块商住及科研用房项目（1#-12#楼、地下车库）,东太湖度假区（太湖新城）开平路南侧苏州湾大道西侧,苏州市东太湖度假区（太湖新城）开平路南侧苏州湾大道西侧,40138.79,房屋建筑,
228,WJ-2020-009号地块商住及公共管理与公共服务用房项目（07-03-33、07-03-34）二标段,吴江区秋枫街东侧笠泽西路南侧,苏州市吴江区秋枫街东侧笠泽西路南侧,9225.12,房屋建筑,
229,WJ-2020-009号地块商住及公共管理与公共服务用房项目（07-03-33、07-03-34）一标段,东太湖度假区（太湖新城）秋枫街东侧笠泽西路南侧地块,苏州市东太湖度假区（太湖新城）秋枫街东侧笠泽西路南侧地块,28266.16,房屋建筑,
230,吴江区城市绿轴工程项目,吴江区太湖新城映山街以东、风清街以西,苏州市吴江区太湖新城映山街以东、风清街以西,10578.9,房屋建筑,
231,WJ-J-2019-028地块住宅项目,苏州市吴江区秋枫街以东、规七路以北、规划冬梅街以西,苏州市苏州市吴江区秋枫街以东、规七路以北、规划冬梅街以西,48234.72,房屋建筑,
232,WJ-J-2019-017、WJ-J-2019-018地块住宅项目二期工程,苏州市吴江区太湖新城（松陵镇）规八路西侧体育路北侧,苏州市苏州市吴江区太湖新城（松陵镇）规八路西侧体育路北侧,18530.5,房屋建筑,
233,WJ-J-2019-017、WJ-J-2019-018地块住宅项目一期工程,苏州市吴江区太湖新城（松陵镇）规八路西侧体育路北侧,苏州市苏州市吴江区太湖新城（松陵镇）规八路西侧体育路北侧,22521.09,房屋建筑,
234,WJ-J-2019-001地块住宅项目施工总承包工程,吴江区太湖新城，东至冬梅街，南至体育路，西至秋枫街，北至顾家荡河,苏州市吴江区太湖新城，东至冬梅街，南至体育路，西至秋枫街，北至顾家荡河,71421.4,房屋建筑,
235,WJ-J-2020-008地块普通住宅项目（11#、12#、地库1）,东太湖度假区（太湖新城）秋枫街东侧庞杨路南侧,苏州市东太湖度假区（太湖新城）秋枫街东侧庞杨路南侧,2594,房屋建筑,
236,WJ-J-2020-008地块普通住宅项目（1#-10#、13#-16#、地库2）,东太湖度假区（太湖新城）秋枫街东侧庞杨路南侧,苏州市东太湖度假区（太湖新城）秋枫街东侧庞杨路南侧,14370.3,房屋建筑,
237,WJ-J-2018-013号地块项目二标段,苏州吴江秋枫街以东，芦荡路以南,苏州市苏州吴江秋枫街以东，芦荡路以南,30300.13,房屋建筑,
238,WJ-J-2018-013号地块项目一标段,吴江区太湖新城秋枫街东侧，芦荡路南侧,苏州市吴江区太湖新城秋枫街东侧，芦荡路南侧,32750.27,房屋建筑,
239,吴江区太湖新城水秀小学总包,太湖新城风清街东侧、新二路南侧,苏州市太湖新城风清街东侧、新二路南侧,12576.99,房屋建筑,
240,太湖新城高新路WJ-J-2015-042地块商服项目-太湖新城高新路WJ-J-2015-042地块商服项目,吴江区太湖新城原康复医院地块,苏州市吴江区太湖新城原康复医院地块,20850.49,房屋建筑,
241,"建设苏州湾文化中心配套工程-苏州湾文化中心配套安装工程,苏州湾文化中心配套安装工程",太湖新城湖景街东，映山街西。,苏州市太湖新城湖景街东，映山街西。,2282.2,装饰装修,
242,吴江区城南家园三期西侧（高层部分）定销公寓房工程-北区,吴江区太湖新城,苏州市吴江区太湖新城,45088.88,房屋建筑,
243,吴江区城南家园三期西侧（高层部分）定销公寓房工程-南区,吴江区太湖新城,苏州市吴江区太湖新城,44637.43,房屋建筑,
244,苏州湾大数据智慧产业基地项目（二标段一期）,夏蓉街南侧纬一路西侧,苏州市夏蓉街南侧纬一路西侧,12969.5,房屋建筑,
245,松陵镇云龙路南中山南路西项目二期（朗诗新广场）（2.1期）,吴江区松陵镇,苏州市吴江区松陵镇,20300,房屋建筑,
246,"WJ-J-2019-029地块住宅项目-1#楼,2#楼,3#楼,4#楼,5#楼,6#楼,7#楼,8#楼,9#楼,10#楼,11#公共变电所,12#公共变电所、开关站,13#垃圾站,地下汽车库",吴江区东太湖度假区（太湖新城）冬梅街西侧，江厍西路北侧,苏州市吴江区东太湖度假区（太湖新城）冬梅街西侧，江厍西路北侧,40447,房屋建筑,
248,新建科教研发中心（不用于生产）,江苏省苏州市吴江区云龙路复线南侧红星美凯龙东侧,苏州市江苏省苏州市吴江区云龙路复线南侧红星美凯龙东侧,5000.8,房屋建筑,
249,内部装修及外立面装修-苏州恒力中心公寓（B塔C1、C2户型、D1户型（12-22层）、B塔首层大堂及公区室内）装饰工程,江苏省苏州市吴江区湖景街以东，开平路以北,苏州市江苏省苏州市吴江区湖景街以东，开平路以北,4599.24,装饰装修,
250,"吴江WJ-J-2019-015地块住宅项目-5#楼,6#楼,8#楼,9#楼,10#楼,11#楼,7#楼,门卫1,垃圾房",吴江区太湖新城、苏州河路东、江厍路北,苏州市吴江区太湖新城、苏州河路东、江厍路北,11532.37,房屋建筑,
251,太湖城南地块W1、W2、W39、W46-W48、W51,吴江区太湖新城,苏州市吴江区太湖新城,1672.9,房屋建筑,
252,"吴江WJ-J-2019-015地块住宅项目-1#楼,2#楼,3#楼,4#楼,开闭所,配电房,门卫2,人防地库,非人防地库",吴江区太湖新城、苏州河路东、江厍路北,苏州市吴江区太湖新城、苏州河路东、江厍路北,22647,房屋建筑,
253,太湖新城（松陵镇）秋枫街西侧江厍西路北侧地块住宅项目,吴江太湖新城秋枫街西侧江厍西路北侧,苏州市吴江太湖新城秋枫街西侧江厍西路北侧,70000,房屋建筑,
254,"吴江区太湖新城水秀幼儿园工程-幼儿园,门卫",吴江区太湖新城风清街东侧、新二路北侧,苏州市吴江区太湖新城风清街东侧、新二路北侧,5346.29,房屋建筑,
255,步步高互联网软件园（高标准工业厂房）二标段,苏州市吴江区夏蓉路西五方路北,苏州市苏州市吴江区夏蓉路西五方路北,11098.57,房屋建筑,
256,建设苏州湾文化中心配套工程-苏州湾文化中心配套工程,太湖新城湖景街东，映山街西,苏州市太湖新城湖景街东，映山街西,13778.54,房屋建筑,
257,吴江区太湖新城永鼎医院东侧动迁安置房工程,吴江区太湖新城高新路以北，祁连路以东,苏州市吴江区太湖新城高新路以北，祁连路以东,5562.25,房屋建筑,
259,吴江区太湖新城核心区春江路东侧A2-2地块商服项目-吴江金茂中心,苏州市吴江区东太湖大道北、水秀街东,苏州市苏州市吴江区东太湖大道北、水秀街东,18100,房屋建筑,
260,吴江科汇大厦,吴江区公共卫生中心东南侧地块,苏州市吴江区公共卫生中心东南侧地块,9356,房屋建筑,
261,吴江太湖新城轨交4号线松陵大道综合交通枢纽项目土建工程,吴江区太湖新城松陵大道西、东太湖大道北,苏州市吴江区太湖新城松陵大道西、东太湖大道北,117999.98,房屋建筑,
262,吴江太湖新城总部经济8号地块商服项目,苏州太湖新城吴江总部经济8号地块,苏州市苏州太湖新城吴江总部经济8号地块,11000,房屋建筑,
263,吴江区太湖新城高新村北侧动迁安置房工程,吴江太湖新城,苏州市吴江太湖新城,11899.49,房屋建筑,
265,太湖城南地块西区（三期）一标段,吴江区太湖新城,苏州市吴江区太湖新城,17646.6,房屋建筑,
266,WJ-J-2016-025号地块（吴江太湖新城亚洲碳谷项目）,吴江太湖新城高新路南、水秀街西、湖景街东,苏州市吴江太湖新城高新路南、水秀街西、湖景街东,48000,房屋建筑,
267,苏州吴江智慧城市产业化基地二期,江苏省苏州市吴江区鲈乡南路以西，吴江大道以北,苏州市江苏省苏州市吴江区鲈乡南路以西，吴江大道以北,81104.32,房屋建筑,
268,吴江滨湖新城B1地块商服、住宅用房项目-吴江太湖新城核心区B1地块超高层项目(副楼),江苏省吴江市开平路南侧、滨湖路东侧,苏州市江苏省吴江市开平路南侧、滨湖路东侧,12069.9,房屋建筑,
269,太湖新城总部经济7号地块商服用房项目,吴江区太湖新城总部经济水秀街（水秀街以东、规划支路以北）,苏州市吴江区太湖新城总部经济水秀街（水秀街以东、规划支路以北）,32000,房屋建筑,
270,太湖新城吴江总部经济5号地块商服用房-（不含桩基）太湖新城吴江总部经济5号地块,苏州市吴江太湖新城开平路附近绿轴步行街,苏州市苏州市吴江太湖新城开平路附近绿轴步行街,11300,房屋建筑,
271,苏州湾景苑西区三期（5#、9#、地下室三A、三C）,苏州市吴江区高新路北、风清街西,苏州市苏州市吴江区高新路北、风清街西,48050,房屋建筑,
272,"苏州湾景苑西区二-2期（3#、地下室二-2B（含人防））,地下室二-2B",苏州市吴江区高新路北、风清街西,苏州市苏州市吴江区高新路北、风清街西,22734,房屋建筑,
274,太湖新城（松陵镇）春江路东侧A8-1地块商服项目-太湖新城（松陵镇）春江路东侧A8-1地块商服项目,苏州市吴江区滨湖新城总部经济A8-1地块,苏州市苏州市吴江区滨湖新城总部经济A8-1地块,33720,房屋建筑,
275,启迪苏州吴江科技信息产业基地项目 7#、15#、16#、地库,苏州市吴江区太湖新城鲈乡南路东侧、五方路南侧,苏州市苏州市吴江区太湖新城鲈乡南路东侧、五方路南侧,30853.08,房屋建筑,
276,吴江滨湖新城A区A7-2地块项目,吴江区太湖新城,苏州市吴江区太湖新城,13702.09,房屋建筑,
279,吴江太湖新城核心区B1地块超高层项目（塔楼部分）,江苏省苏州市吴江区开平路以南、映山街以西,苏州市江苏省苏州市吴江区开平路以南、映山街以西,119449.38,房屋建筑,
283,年产镍钛支架4万件项目（1#医疗器械车间）,苏州吴江汾湖国道路2688号,苏州市苏州吴江汾湖国道路2688号,4330,房屋建筑,
284,"年产鸡精调味料2.6万吨-新建车间八,辅房",苏州吴江区黎里镇金家坝金莘路3099号,苏州市苏州吴江区黎里镇金家坝金莘路3099号,5795.5,房屋建筑,
286,新建车间及仓库40000平方米（仅用于出租）-新建4#车间,平望镇联合村,苏州市平望镇联合村,2300,房屋建筑,
287,扩建雨棚工程,苏州市吴江区黎里镇长葑荡路66号,苏州市苏州市吴江区黎里镇长葑荡路66号,262,房屋建筑,
288,内部装修,黎里镇临沪大道1518号,苏州市黎里镇临沪大道1518号,700,装饰装修,
290,平望镇教师新村老旧小区改造工程,吴江区平望镇,苏州市吴江区平望镇,1366.38,装饰装修,
291,内部改造-苏州慧泉培训有限公司内部改造工程,苏州市吴江区黎里镇南京路369号1幢301室,苏州市苏州市吴江区黎里镇南京路369号1幢301室,31,装饰装修,
293,内部装修,吴江区芦墟镇莘塔社区莘塔大街5号（金燕半岛）57幢,苏州市吴江区芦墟镇莘塔社区莘塔大街5号（金燕半岛）57幢,110,装饰装修,
295,内部装修,黎里镇城司路1218号4幢109-113,苏州市黎里镇城司路1218号4幢109-113,108.65,装饰装修,
296,长三角科大亨芯研究院项目一期,汾湖高新区（黎里镇）科创园东侧地块,苏州市汾湖高新区（黎里镇）科创园东侧地块,219.24,房屋建筑,
297,危废库,苏州市吴江区汾湖开发区金字路东侧,苏州市苏州市吴江区汾湖开发区金字路东侧,387.66,房屋建筑,
298,年产服装90万件项目（车间一）,苏州市吴江区平望镇梅堰开发区,苏州市苏州市吴江区平望镇梅堰开发区,680,房屋建筑,
300,年产半导体专用材料1000件套,吴江区黎里镇临沪大道北侧1508号,苏州市吴江区黎里镇临沪大道北侧1508号,1155,装饰装修,
301,新建仓库及辅房,江苏省吴江区黎里镇浦家港西路卓赢家具北侧地块,苏州市江苏省吴江区黎里镇浦家港西路卓赢家具北侧地块,11536.58,房屋建筑,
302,"厂房,宿舍,门卫,地下泵房",汾湖高新区318国道北侧,苏州市汾湖高新区318国道北侧,3900,房屋建筑,
303,新建仓库,江苏省苏州市吴江区黎里镇莘塔康力大道788号,苏州市江苏省苏州市吴江区黎里镇莘塔康力大道788号,707.78,房屋建筑,
304,"新建仓储一体化项目-门卫1,门卫2",吴江区黎里镇天方路西侧,苏州市吴江区黎里镇天方路西侧,32.47,房屋建筑,
305,金家坝学校建设多功能场馆工程,吴江区汾湖高新区金家坝金鼎东路 91 号,苏州市吴江区汾湖高新区金家坝金鼎东路 91 号,1455.07,房屋建筑,
306,"年产成套扇形段50套、组装振动台200套、组装结晶器100套-1#厂房,2#厂房,门卫",吴江区平望镇中鲈工业园唐家湖大道18号,苏州市吴江区平望镇中鲈工业园唐家湖大道18号,3000,房屋建筑,
307,内部装修,苏州市吴江区黎里镇南京路369号,苏州市苏州市吴江区黎里镇南京路369号,40,装饰装修,
308,喷气织机生产技术改造项目（3#车间）,吴江区平望镇梅堰社区国金公路旁,苏州市吴江区平望镇梅堰社区国金公路旁,1430,房屋建筑,
309,年加工服装70万件-年加工服装70万件,吴江区平望镇梅堰龙翔路355号,苏州市吴江区平望镇梅堰龙翔路355号,4330,房屋建筑,
310,新建辅房-新建食堂,苏州市吴江区黎里镇金家坝金莘路3099号,苏州市苏州市吴江区黎里镇金家坝金莘路3099号,518,房屋建筑,
311,WJ-J-2020-025地块商住项目（二期）,苏州吴江汾湖高新区（黎里镇）江苏路以西，城司路以北，海南路以东，洋青河路以南,苏州市苏州吴江汾湖高新区（黎里镇）江苏路以西，城司路以北，海南路以东，洋青河路以南,9000,房屋建筑,
312,吴江区汾湖智慧谷项目工程总承包,汾湖高新区厍星路西侧,苏州市汾湖高新区厍星路西侧,8130.12,房屋建筑,
313,加弹生产线技术改造项目（生产车间三）,苏州市吴江区平望镇梅堰联合村五组（318国道北侧100米，松桃线西侧）,苏州市苏州市吴江区平望镇梅堰联合村五组（318国道北侧100米，松桃线西侧）,1540,房屋建筑,
314,吴江区平望镇智慧便民中心工程,吴江区平望镇北至平梅大道，西至平望派出所,苏州市吴江区平望镇北至平梅大道，西至平望派出所,9501.69,房屋建筑,
315,公司整体搬迁-公司整体搬迁项目（新建车间）,平望镇小圩村,苏州市平望镇小圩村,570,房屋建筑,
316,苏州华锐双语学校(二期）（5#小初教学楼，6#小初宿舍、餐厅，7#幼儿园，8#门卫2，10#垃圾房，11#门卫4）,苏州汾湖开发区新友路以西、新黎路以北,苏州市苏州汾湖开发区新友路以西、新黎路以北,20000,房屋建筑,
318,"年产加速器80台-2#设备用房,1#门卫,3#原料仓库及加工车间,4#总装车间,5#调试车间,6#加速管车间,7#成品仓库,8#喷砂车间、酸洗间及空压机房,9#危险品库及放射性废物暂存库",苏州市吴江区平望镇中鲈工业园,苏州市苏州市吴江区平望镇中鲈工业园,14101.41,房屋建筑,
320,内部装修-内部装修,吴江黎里镇芦墟芦莘大道888号（892、896、898）,苏州市吴江黎里镇芦墟芦莘大道888号（892、896、898）,79.96,装饰装修,
321,4#生产车间,吴江区黎里镇临沪大道2899号,苏州市吴江区黎里镇临沪大道2899号,260.58,房屋建筑,
325,氨气车间,吴江区黎里镇大胜路东侧,苏州市吴江区黎里镇大胜路东侧,74.72,房屋建筑,
326,WJ-J-2020-021地块商住用房项目S1商业、S2商业,吴江区汾湖开发区中心河路与海南路交界处,苏州市吴江区汾湖开发区中心河路与海南路交界处,615,房屋建筑,
327,"年产加速器1000套（2#车间,1#门卫,3#消防泵房水池）",吴江区黎里镇北厍汾湖村,苏州市吴江区黎里镇北厍汾湖村,3971.23,房屋建筑,
328,"WJ-J-2020-021地块商住用房项目1-14#楼,S3#楼,门卫1,门卫2,地库",吴江区汾湖高新区中心河路与海南路交界处,苏州市吴江区汾湖高新区中心河路与海南路交界处,32110.5,房屋建筑,
330,吴江区平望运河文体中心-文体中心,吴江区平望镇平梅大道以南，平梅支路以北，新运河以西,苏州市吴江区平望镇平梅大道以南，平梅支路以北，新运河以西,29752.29,房屋建筑,
331,新增建筑面积8000平方米-新增建筑面积8000平方米,吴江区平望镇端市村,苏州市吴江区平望镇端市村,821.13,房屋建筑,
332,"年产差别化功能性纤维20万吨项目-CP7聚酯装置,CF7直纺长丝装置,PTA仓库七,成品库七,CP7综合动力站",吴江区平望镇梅堰工业集中区,苏州市吴江区平望镇梅堰工业集中区,24000,房屋建筑,
333,年加工经轴2000件生产技术改造项目,吴江区平望镇梅堰庙头村,苏州市吴江区平望镇梅堰庙头村,2743.62,房屋建筑,
334,"吴江区中医医院异地新建工程-住院综合楼,门诊医技综合楼,地下车库,垃圾及污水处理站",吴江区平望镇平西村,苏州市吴江区平望镇平西村,50765.43,房屋建筑,
337,新建仓库及辅房项目,吴江区黎里镇318国道北侧将军荡西侧,苏州市吴江区黎里镇318国道北侧将军荡西侧,57700,房屋建筑,
338,吴江汾湖WJ-J-2019-024、WJ-J-2019-025地块住宅项目一期（1.2）,江苏省苏州市吴江区,苏州市江苏省苏州市吴江区,8737.11,房屋建筑,
339,"年产自动化设备3500台-自动化车间,电子车间,综合楼,门卫及消控室",江苏省苏州市吴江区平望镇中鲈工业集中区,苏州市江苏省苏州市吴江区平望镇中鲈工业集中区,3000,房屋建筑,
340,"WJ-J-2020-015号地块商住项目-14#,15#",苏州市吴江区汾湖高新区（黎里镇）光明北地块，东至西湾河，南至越秀路，西至空地，北至西湾河,苏州市苏州市吴江区汾湖高新区（黎里镇）光明北地块，东至西湾河，南至越秀路，西至空地，北至西湾河,195.27,房屋建筑,
